Symbol,Company,Delisted Date,Type of Delisting
ABGHEAVY,ABG Heavy Industries Ltd,21-Jul-05,"Voluntary"
ADITYAINTL,Aditya International Ltd.,12-Feb-07,"Voluntary"
ALFALAVAL,Alfa Laval (India) Limited,19-Apr-12,"Voluntary"
ANIKSHIP,Anik Ship Breaking Industries Ltd.,26-Jul-04,"Compulsory"
BATLIBOI,Batliboi Limited,28-Jun-12,"Voluntary"
BHARATHOT,Bharat Hotels Limited,17-Jun-03,"Voluntary"
BHARATPIPE,Bharat Pipes and Fittings Ltd,26-Jul-04,"Compulsory"
BINANICEM,Binani Cement Limited,30-May-11,"Voluntary"
BOSCHCHASY,Bosch Chassis Systems India Ltd.,7-Nov-08,"Voluntary"
CABOTINDIA,Cabot India Ltd,15-Apr-02,"Voluntary"
CADBURY,Cadbury India Limited,7-Feb-03,"Voluntary"
CAROLINFO,Carol Info Services Limited,19-Mar-12,"Voluntary"
CHEMPLAST,Chemplast Sanmar Limited,25-Jun-12,"Voluntary"
CHETTINAD,Chettinad Cement Corporation Limited,7-Jun-13,"Voluntary"
CRBCAPS,CRB Capital Markets Ltd,26-Jul-04,"Compulsory"
CRBCORP,CRB Corporation Ltd,26-Jul-04,"Compulsory"
DATTMEDI,Datt Mediproducts Limited,23-Jan-06,"Voluntary"
DIGITALEQP,Digital GlobalSoft Ltd.,15-Apr-04,"Voluntary"
EICHER,Eicher Limited,13-Mar-07,"Voluntary"
E-SERVEINT,e-Serve International Limited,22-Dec-04,"Voluntary"
ESTL,Essar Steel Limited,24-Dec-07,"Voluntary"
FKONCO,Fresenius Kabi Oncology Limited,10-Jan-14,"Voluntary"
FSS,Flextronics Software Systems Limited,10-Feb-06,"Voluntary"
GFL,Godrej Foods Limited,19-Apr-05,"Voluntary"
GRMAGNET,GR Magnets Ltd.,26-Jul-04,"Compulsory"
HINDSPG,Hindoostan Spinning and Weaving Mills Ltd,5-Apr-05,"Voluntary"
HINVDIR,HSBC InvestDirect (India) Limited,15-Jul-10,"Voluntary"
HOGANAS,Hoganas India Ltd,7-Aug-02,"Voluntary"
IGS,iGate Global Solutions Limited,4-Feb-08,"Voluntary"
INDAL,Indian Aluminium Co. Ltd.,8-Apr-04,"Voluntary"
INDGYPSUM,India Gypsum Ltd,12-Jan-05,"Voluntary"
INFARINDIA,Infar (India) Ltd.,11-Oct-02,"Voluntary"
INTEGENT,Integrated Enterprises (India) Limited,29-May-06,"Voluntary"
INVELTRANS,GKN Driveshafts (India) Limited,29-Jul-03,"Voluntary"
KAMALOVER,Kamal Overseas Ltd.,26-Jul-04,"Compulsory"
KEDIADIST,Kedia Distilleries Ltd.,26-Jul-04,"Compulsory"
LOTTEINDIA,Lotte India Corporation Limited,31-Jul-09,"Voluntary"
MADURACOAT,Madura Coats Limited,25-Apr-03,"Voluntary"
MALCO,The Madras Aluminium Co Ltd,19-Jun-09,"Voluntary"
MARUTIORGN,Maruti Organics Limited,26-Jul-04,"Compulsory"
MATRIXLABS,Matrix Laboratories Limited,21-Aug-09,"Voluntary"
MICRO,Micro Inks Limited,13-Apr-10,"Voluntary"
MRINALDYE,Mrinal Dyeing & Manufacturing Co. Ltd,26-Jul-04,"Compulsory"
NIRMA,Nirma Limited,28-Mar-12,"Voluntary"
OENCONNECT,FCI OEN Connectors Limited,17-Sep-07,"Voluntary"
OTIS,OTIS Elevator Company Ltd,17-Jun-03,"Voluntary"
PANASIAIND,Pan Asia Industries Ltd,26-Jul-04,"Compulsory"
PATNI,Patni Computer Systems Limited,28-May-12,"Voluntary"
PAVCI,Panasonic AVC Networks India Co. Limited.,14-Dec-07,"Voluntary"
PEARLGLOBL,Pearl Global Ltd,21-Aug-09,"Voluntary"
PENTACOMMU,Pentasoft Technologies Limited,9-Jan-09,"Voluntary"
PENTSFWARE,Pentamedia Graphics Limited,9-Jan-09,"Voluntary"
PHILCORP,PHIL Corporation Limited,9-Feb-10,"Voluntary"
POLYCHEM,Polychem Ltd,27-Dec-05,"Voluntary"
REALVALAPL,Real Value Appliance Ltd.,26-Jul-04,"Compulsory"
RECKCOLMAN,Reckitt Benckiser (India) Ltd,12-May-03,"Voluntary"
SHIVLOHMIL,Shivalik Loha Mills Ltd.,26-Jul-04,"Compulsory"
SHPRE,Shree Precoated Steels Limited,10-May-12,"Voluntary"
SIGROUPIND,SI Group - India Limited,23-Sep-09,"Voluntary"
SRIVISHCEM,Sri Vishnu Cement Ltd,10-Mar-03,"Voluntary"
TOLANIBULK,Tolani Bulk Carriers Ltd,15-Apr-02,"Voluntary"
UTVSOF,UTV Software Communications Limited,16-Mar-12,"Voluntary"
WARTSILA,Wartsila India Ltd,19-Jun-07,"Voluntary"
WESTINDIA,Western India Industries Ltd,26-Jul-04,"Compulsory"
WESTNPAQUE,Western Paques (India) Ltd,26-Jul-04,"Compulsory"
WIMCOLTD,Wimco Limited,14-Dec-05,"Voluntary"
YOKOGAWA,Yokogawa India Limited,10-May-07,"Voluntary"
RBN,Reliance Broadcast Network Limited,28-Mar-14,"Voluntary"
RELMEDIA,Reliance MediaWorks Limited,6-May-14,"Voluntary"
JDORGOCHEM,JD Orgochem Limited,18-Jul-14,"Voluntary"
PIRGLASS,Piramal Glass Limited,28-Jul-14,"Voluntary"
NOVOPANIND,Novopan Industries Limited,10-Nov-14,"Voluntary"
MANJUSHREE,Manjushree Technopack Limited,24-Mar-15,"Voluntary"
WINSOMEDJ,Winsome Diamonds and Jewellery Limited,31-Mar-15,"Voluntary"
GSLNOVA,GSL Nova Petrochemicals Limited,22-Apr-15,"Voluntary"
ESSARPORTS,Essar Ports Limited,31-Dec-15,"Voluntary"
ESSAROIL,Essar Oil Limited,17-Feb-16,"Voluntary"
ZENITHCOMP,Zenith Computers Limited,18-Mar-16,"Voluntary"
GUJSTATFIN,Gujarat State Financial Corporation,18-Mar-16,"Voluntary"
NOVAIRNSTL,Nova Iron & Steel Ltd,4-Jul-16,"Voluntary"
CHEMOXCHEM,Chemox Chemical Industries Limited,31-Aug-16,Delisting - Liquidation
GANAPATEXP,Ganapati Exports Limited,31-Aug-16,Delisting - Liquidation
HINDALLOYS,Hamco Mining & Smelting Limited,31-Aug-16,Delisting - Liquidation
MANSUKHIND,Mansukh Industries Limited,31-Aug-16,Delisting - Liquidation
MARDIACHEM,Mardia Chemicals Limited,31-Aug-16,Delisting - Liquidation
MARDIASTL,Mardia Steel Limited,31-Aug-16,Delisting - Liquidation
MOOLEXPORT,Moolchand Exports Limited,31-Aug-16,Delisting - Liquidation
MOTOROL,Motorol (I) Limited,31-Aug-16,Delisting - Liquidation
PALPEUGEOT,Pal Peugeot Limited,31-Aug-16,Delisting - Liquidation
PONNIORISA,Ponni Sugars (Orissa) Limited,31-Aug-16,Delisting - Liquidation
PRUDENTCM,Prudential Capital Markets Limited,31-Aug-16,Delisting - Liquidation
SIVIND,SIV Industries Limited,31-Aug-16,Delisting - Liquidation
SMZSCHEM,SMZS Chemicals Limited,31-Aug-16,Delisting - Liquidation
VIBRANTINV,Vibrant  Investment and Properties Limited,31-Aug-16,Delisting - Liquidation
ALPICFIN,Alpic Finance Limited,12-Sep-16,Delisting - Liquidation
ARIHANTCOT,Arihant Cotsyn Limited,12-Sep-16,Delisting - Liquidation
BHUPENIND,BIL Industries Limited,12-Sep-16,Delisting - Liquidation
BPLREFRIG,B S Refrigerators Limited,12-Sep-16,Delisting - Liquidation
BPLSANTECH,BST Limited,12-Sep-16,Delisting - Liquidation
CEATFIN,CFL Capital Financial Services Limited,12-Sep-16,Delisting - Liquidation
COMPUDYNE,Compudyne Winosystems Limited,12-Sep-16,Delisting - Liquidation
CYBERSPACE,Cyberspace Limited,12-Sep-16,Delisting - Liquidation
DRIND,DR Softech & Industries Limited,12-Sep-16,Delisting - Liquidation
DSJFINCORP,DSJ Finance Corporation Limited,12-Sep-16,Delisting - Liquidation
ENKTEXFOOD,Enkay Texofood Industries Limited,12-Sep-16,Delisting - Liquidation
HANILERA,Hanil Era Textiles Limited,12-Sep-16,Delisting - Liquidation
PATHEJAFOR,Patheja Forgings & Auto Parts Manufacturers Limited,12-Sep-16,Delisting - Liquidation
PSTL,Pyramid Saimira Theatre Limited,12-Sep-16,Delisting - Liquidation
RUSHABEAR,Rushabh Precision Bearings Limited,12-Sep-16,Delisting - Liquidation
SNOWCEMIND,Snowcem India Limited (SIL Business Enterprises Limited),12-Sep-16,Delisting - Liquidation
SOUNDCRAFT,Soundcraft Industries Limited,12-Sep-16,Delisting - Liquidation
SQUAREDBIO,Origin Agrostar Limited,12-Sep-16,Delisting - Liquidation
VINCARDS,Vintage Cards & Creations Limited,12-Sep-16,Delisting - Liquidation
WOPOLIN,Wopolin Plastics Limited,12-Sep-16,Delisting - Liquidation
BENTOLCHEM,Chemox Laboratories Limited,22-Nov-16,"Compulsory"
CEPHAMILK,Cepham Milk Specialities Limited,22-Nov-16,"Compulsory"
DAMANIACM,Damania Capital Markets Limited,22-Nov-16,"Compulsory"
DARTLTD,Dataline and Research Technologies Limited,22-Nov-16,"Compulsory"
GRAPCOGRAN,Grapco Industries Limited,22-Nov-16,"Compulsory"
HMGIND,HMG Industries Limited,22-Nov-16,"Compulsory"
MANDUIND,Mandu Industries Limited,22-Nov-16,"Compulsory"
NOVASTEEL,Nova Steel India Limited,22-Nov-16,"Compulsory"
RAJINPIPE,Rajinder Pipes Limited,22-Nov-16,"Compulsory"
RAJINSTEEL,Rajinder Steels Limited,22-Nov-16,"Compulsory"
RUPANGIMPX,Rupangi Impex Limited,22-Nov-16,"Compulsory"
SANDERIND,Sanderson Industries Limited,22-Nov-16,"Compulsory"
SUNSTARLUB,Sunstar Lubricants Limited,22-Nov-16,"Compulsory"
ZENGLOBAL,Zen Global Finance Limited,22-Nov-16,"Compulsory"
